from_window_size,to_window_size,from_segment,to_segment,from_dominant,to_dominant,from_interval,to_interval,overlap_lines,from_overlap_count,to_overlap_count,relation_type,relation_note
2000,3000,2,2,stable,stable,4001-6000,3001-6000,2000,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
2000,3000,3,3,residual,residual,6001-7314,6001-7314,1314,1,1,one_to_one_continuation,observer-side overlap relation under adjacent constitution transition
3000,4000,1,1,residual,residual,1-3000,1-7314,3000,1,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
3000,4000,2,1,stable,residual,3001-6000,1-7314,3000,1,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
3000,4000,3,1,residual,residual,6001-7314,1-7314,1314,1,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
4000,5000,1,1,residual,residual,1-7314,1-7314,7314,1,1,one_to_one_continuation,observer-side overlap relation under adjacent constitution transition
5000,7000,1,1,residual,residual,1-7314,1-7000,7000,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
5000,7000,1,2,residual,stable,1-7314,7001-7314,314,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
7000,10000,1,1,residual,residual,1-7000,1-7314,7000,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
7000,10000,2,1,stable,residual,7001-7314,1-7314,314,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
